MIT1002-mutant-library,MIT1002-used-for-model,ATCC27126_new,ATCC27126_old,HOT1A3_new,HOT1A3_old
MIT1002_00064,TK37_RS10765,MASE_RS00320,MASE_00305,ACZ81_RS00315,ACZ81_00315
MIT1002_00065,TK37_RS10770,MASE_RS00325,MASE_00310,ACZ81_RS00320,ACZ81_00320
MIT1002_00066,TK37_RS10775,MASE_RS00330,MASE_00315,ACZ81_RS00325,ACZ81_00325
MIT1002_00067,TK37_RS10780,MASE_RS00335,MASE_00320,ACZ81_RS00330,ACZ81_00330
MIT1002_00068,TK37_RS10785,MASE_RS00340,MASE_00325,ACZ81_RS00335,ACZ81_00335
MIT1002_00069,TK37_RS10790,MASE_RS00345,MASE_00330,ACZ81_RS00340,ACZ81_00340
MIT1002_00070,TK37_RS10795,MASE_RS00350,MASE_00335,ACZ81_RS00345,ACZ81_00345
MIT1002_00071,TK37_RS10800,MASE_RS00355,MASE_00340,ACZ81_RS00350,ACZ81_00350
MIT1002_00072,TK37_RS10805,MASE_RS00360,MASE_00345,ACZ81_RS00355,ACZ81_00355
MIT1002_00073,TK37_RS10810,MASE_RS00365,MASE_00350,ACZ81_RS00360,ACZ81_00360
MIT1002_00077,TK37_RS10830,MASE_RS00375,MASE_00355,ACZ81_RS00380,ACZ81_00380
MIT1002_00078,TK37_RS10835,MASE_RS00380,MASE_00360,ACZ81_RS00385,ACZ81_00385
MIT1002_00079,TK37_RS10840,MASE_RS00385,MASE_00365,ACZ81_RS00390,ACZ81_00390
MIT1002_00080,TK37_RS10845,MASE_RS00390,MASE_00370,ACZ81_RS00395,ACZ81_00395
MIT1002_00084,TK37_RS10865,MASE_RS00410,MASE_00400,ACZ81_RS00430,ACZ81_00430
MIT1002_00085,TK37_RS10870,MASE_RS00415,MASE_00405,ACZ81_RS00435,ACZ81_00435
MIT1002_00086,TK37_RS10875,MASE_RS00425,MASE_00415,ACZ81_RS00445,ACZ81_00445
MIT1002_00087,TK37_RS10880,MASE_RS00430,MASE_00420,ACZ81_RS00450,ACZ81_00450
MIT1002_00088,TK37_RS10885,MASE_RS00435,MASE_00425,ACZ81_RS00455,ACZ81_00455
MIT1002_00089,TK37_RS10890,MASE_RS00440,MASE_00430,ACZ81_RS00460,ACZ81_00460
MIT1002_00090,TK37_RS10895,MASE_RS00445,MASE_00435,ACZ81_RS00465,ACZ81_00465
MIT1002_00091,TK37_RS10900,MASE_RS00450,MASE_00440,ACZ81_RS00470,ACZ81_00470
MIT1002_00092,TK37_RS10905,MASE_RS00455,MASE_00445,ACZ81_RS00475,ACZ81_00475
MIT1002_00093,TK37_RS10910,MASE_RS00460,MASE_00450,ACZ81_RS00480,ACZ81_00480
MIT1002_00094,TK37_RS10915,MASE_RS00465,MASE_00455,ACZ81_RS00485,ACZ81_00485
MIT1002_00095,TK37_RS10920,MASE_RS00470,MASE_00460,ACZ81_RS00490,ACZ81_00490
MIT1002_00096,TK37_RS10925,MASE_RS00475,MASE_00465,ACZ81_RS00495,ACZ81_00495
MIT1002_00097,TK37_RS10930,MASE_RS00480,MASE_00470,ACZ81_RS00500,ACZ81_00500
MIT1002_00099,TK37_RS10935,MASE_RS00485,MASE_00475,ACZ81_RS00505,ACZ81_00505
MIT1002_00100,TK37_RS10940,MASE_RS00490,MASE_00480,ACZ81_RS00510,ACZ81_00510
MIT1002_00101,TK37_RS10945,MASE_RS00495,MASE_00485,ACZ81_RS00515,ACZ81_00515
MIT1002_00102,TK37_RS10950,MASE_RS00500,MASE_00490,ACZ81_RS00520,ACZ81_00520
MIT1002_00103,TK37_RS10955,MASE_RS00505,MASE_00495,ACZ81_RS00525,ACZ81_00525
MIT1002_00104,TK37_RS10960,MASE_RS00510,MASE_00500,ACZ81_RS00530,ACZ81_00530
MIT1002_00106,TK37_RS08840,MASE_RS00515,MASE_00505,ACZ81_RS00535,ACZ81_00535
MIT1002_00107,TK37_RS08835,MASE_RS00520,MASE_00510,ACZ81_RS00540,ACZ81_00540
MIT1002_00108,TK37_RS08830,MASE_RS00525,MASE_00515,ACZ81_RS00545,ACZ81_00545
MIT1002_00109,TK37_RS08825,MASE_RS00530,MASE_00520,ACZ81_RS00550,ACZ81_00550
MIT1002_00110,TK37_RS08820,MASE_RS00535,MASE_00525,ACZ81_RS00555,ACZ81_00555
MIT1002_00112,TK37_RS08810,MASE_RS00545,MASE_00540,ACZ81_RS00565,ACZ81_00565
MIT1002_00113,TK37_RS08805,MASE_RS00550,MASE_00545,ACZ81_RS00570,ACZ81_00570
MIT1002_00114,TK37_RS08800,MASE_RS00555,MASE_00550,ACZ81_RS00575,ACZ81_00575
MIT1002_00115,TK37_RS08795,MASE_RS00560,MASE_00555,ACZ81_RS00580,ACZ81_00580
MIT1002_00116,TK37_RS08790,MASE_RS00565,MASE_00560,ACZ81_RS00585,ACZ81_00585
MIT1002_00117,TK37_RS08785,MASE_RS00570,MASE_00565,ACZ81_RS00590,ACZ81_00590
MIT1002_00118,TK37_RS08780,MASE_RS00575,MASE_00570,ACZ81_RS00595,ACZ81_00595
MIT1002_00124,TK37_RS08755,MASE_RS00580,MASE_00575,ACZ81_RS00665,ACZ81_00665
MIT1002_00125,TK37_RS08750,MASE_RS00585,MASE_00580,ACZ81_RS00670,ACZ81_00670
MIT1002_00126,TK37_RS08745,MASE_RS00590,MASE_00585,ACZ81_RS00675,ACZ81_00675
MIT1002_00128,TK37_RS08735,MASE_RS00600,MASE_00595,ACZ81_RS00680,ACZ81_00680
MIT1002_00129,TK37_RS08730,MASE_RS00605,MASE_00600,ACZ81_RS00685,ACZ81_00685
MIT1002_00130,TK37_RS08725,MASE_RS00610,MASE_00605,ACZ81_RS00690,ACZ81_00690
MIT1002_00131,TK37_RS08720,MASE_RS00615,MASE_00610,ACZ81_RS00695,ACZ81_00695
MIT1002_00132,TK37_RS08715,MASE_RS00620,MASE_00615,ACZ81_RS00700,ACZ81_00700
MIT1002_00133,TK37_RS08710,MASE_RS00625,MASE_00620,ACZ81_RS00705,ACZ81_00705
MIT1002_00134,TK37_RS08705,MASE_RS00630,MASE_00625,ACZ81_RS00710,ACZ81_00710
MIT1002_00135,TK37_RS08700,MASE_RS00635,MASE_00630,ACZ81_RS00715,ACZ81_00715
MIT1002_00136,TK37_RS08695,MASE_RS00640,MASE_00635,ACZ81_RS00720,ACZ81_00720
MIT1002_00137,TK37_RS08690,MASE_RS00645,MASE_00640,ACZ81_RS00725,ACZ81_00725
MIT1002_00138,TK37_RS08685,MASE_RS00650,MASE_00645,ACZ81_RS00730,ACZ81_00730
MIT1002_00139,TK37_RS08680,MASE_RS00655,MASE_00650,ACZ81_RS00735,ACZ81_00735
MIT1002_00140,TK37_RS08675,MASE_RS00660,MASE_00655,ACZ81_RS00740,ACZ81_00740
MIT1002_00141,TK37_RS08670,MASE_RS00665,MASE_00660,ACZ81_RS00745,ACZ81_00745
MIT1002_00142,TK37_RS08665,MASE_RS00670,MASE_00665,ACZ81_RS00750,ACZ81_00750
MIT1002_00143,TK37_RS08660,MASE_RS00675,MASE_00670,ACZ81_RS00755,ACZ81_00755
MIT1002_00144,TK37_RS08655,MASE_RS00680,MASE_00675,ACZ81_RS00760,ACZ81_00760
MIT1002_00145,TK37_RS08650,MASE_RS00685,MASE_00680,ACZ81_RS00765,ACZ81_00765
MIT1002_00146,TK37_RS08645,MASE_RS00690,MASE_00685,ACZ81_RS00770,ACZ81_00770
MIT1002_00147,TK37_RS08640,MASE_RS00695,MASE_00690,ACZ81_RS00775,ACZ81_00775
MIT1002_00148,TK37_RS08635,MASE_RS00700,MASE_00695,ACZ81_RS00780,ACZ81_00780
MIT1002_00149,TK37_RS08630,MASE_RS00705,MASE_00700,ACZ81_RS00785,ACZ81_00785
MIT1002_00150,TK37_RS08625,MASE_RS00710,MASE_00705,ACZ81_RS00790,ACZ81_00790
MIT1002_00151,TK37_RS08620,MASE_RS00715,MASE_00710,ACZ81_RS00795,ACZ81_00795
MIT1002_00153,TK37_RS08610,MASE_RS00725,MASE_00725,ACZ81_RS00805,ACZ81_00805
MIT1002_00154,TK37_RS08605,MASE_RS00730,MASE_00730,ACZ81_RS00810,ACZ81_00810
MIT1002_00155,TK37_RS08600,MASE_RS00735,MASE_00735,ACZ81_RS00820,ACZ81_00820
MIT1002_00156,TK37_RS08595,MASE_RS00740,MASE_00740,ACZ81_RS00825,ACZ81_00825
MIT1002_00157,TK37_RS08590,MASE_RS00745,MASE_00745,ACZ81_RS00830,ACZ81_00830
MIT1002_00158,TK37_RS08585,MASE_RS00750,MASE_00750,ACZ81_RS00835,ACZ81_00835
MIT1002_00159,TK37_RS08580,MASE_RS00755,MASE_00755,ACZ81_RS00840,ACZ81_00840
MIT1002_00160,TK37_RS08575,MASE_RS00760,MASE_00760,ACZ81_RS00845,ACZ81_00845
MIT1002_00161,TK37_RS08570,MASE_RS00765,MASE_00765,ACZ81_RS00850,ACZ81_00850
MIT1002_00162,TK37_RS08565,MASE_RS00770,MASE_00770,ACZ81_RS00855,ACZ81_00855
MIT1002_00163,TK37_RS08560,MASE_RS00775,MASE_00775,ACZ81_RS00860,ACZ81_00860
MIT1002_00164,TK37_RS08555,MASE_RS00780,MASE_00780,ACZ81_RS00865,ACZ81_00865
MIT1002_00165,TK37_RS08550,MASE_RS00785,MASE_00785,ACZ81_RS00870,ACZ81_00870
MIT1002_00166,TK37_RS08545,MASE_RS00790,MASE_00790,ACZ81_RS00875,ACZ81_00875
MIT1002_00167,TK37_RS08540,MASE_RS00795,MASE_00795,ACZ81_RS00880,ACZ81_00880
MIT1002_00168,TK37_RS08535,MASE_RS00800,MASE_00800,ACZ81_RS00885,ACZ81_00885
MIT1002_00169,TK37_RS08530,MASE_RS00805,MASE_00805,ACZ81_RS00890,ACZ81_00890
MIT1002_00170,TK37_RS08525,MASE_RS00810,MASE_00810,ACZ81_RS00895,ACZ81_00895
MIT1002_00171,TK37_RS08520,MASE_RS00815,MASE_00815,ACZ81_RS00900,ACZ81_00900
MIT1002_00172,TK37_RS08515,MASE_RS00820,MASE_00820,ACZ81_RS00905,ACZ81_00905
MIT1002_00173,TK37_RS08510,MASE_RS00825,MASE_00825,ACZ81_RS00910,ACZ81_00910
MIT1002_00174,TK37_RS08505,MASE_RS00830,MASE_00830,ACZ81_RS00915,ACZ81_00915
MIT1002_00175,TK37_RS08500,MASE_RS00835,MASE_00835,ACZ81_RS00920,ACZ81_00920
MIT1002_00176,TK37_RS08495,MASE_RS00840,MASE_00840,ACZ81_RS00925,ACZ81_00925
MIT1002_00177,TK37_RS08490,MASE_RS00845,MASE_00845,ACZ81_RS00930,ACZ81_00930
MIT1002_00178,TK37_RS21445,MASE_RS20015,MASE_00850,ACZ81_RS21265,ACZ81_00935
MIT1002_00179,TK37_RS08480,MASE_RS00855,MASE_00855,ACZ81_RS00935,ACZ81_00940
MIT1002_00180,TK37_RS08475,MASE_RS00860,MASE_00860,ACZ81_RS00940,ACZ81_00945
MIT1002_00181,TK37_RS08470,MASE_RS00865,MASE_00865,ACZ81_RS00945,ACZ81_00950
MIT1002_00182,TK37_RS08465,MASE_RS00870,MASE_00870,ACZ81_RS00950,ACZ81_00955
MIT1002_00183,TK37_RS08460,MASE_RS00875,MASE_00875,ACZ81_RS00955,ACZ81_00960
MIT1002_00186,TK37_RS19720,MASE_RS00880,MASE_00885,ACZ81_RS00960,ACZ81_00965
MIT1002_00187,TK37_RS19715,MASE_RS00885,MASE_00890,ACZ81_RS00965,ACZ81_00970
MIT1002_00188,TK37_RS19710,MASE_RS00890,MASE_00895,ACZ81_RS00970,ACZ81_00975
MIT1002_00189,TK37_RS19705,MASE_RS00895,MASE_00900,ACZ81_RS00975,ACZ81_00980
MIT1002_00190,TK37_RS19700,MASE_RS00900,MASE_00905,ACZ81_RS00980,ACZ81_00985
MIT1002_00191,TK37_RS19695,MASE_RS00905,MASE_00910,ACZ81_RS00985,ACZ81_00990
MIT1002_00192,TK37_RS19690,MASE_RS00910,MASE_00915,ACZ81_RS00990,ACZ81_00995
MIT1002_00193,TK37_RS19685,MASE_RS00915,MASE_00920,ACZ81_RS00995,ACZ81_01000
MIT1002_00194,TK37_RS19680,MASE_RS00920,MASE_00925,ACZ81_RS01000,ACZ81_01005
MIT1002_00195,TK37_RS19675,MASE_RS00925,MASE_00930,ACZ81_RS01005,ACZ81_01010
MIT1002_00196,TK37_RS19670,MASE_RS00930,MASE_00935,ACZ81_RS01010,ACZ81_01015
MIT1002_00198,TK37_RS14845,MASE_RS00935,MASE_00940,ACZ81_RS01015,ACZ81_01020
MIT1002_00199,TK37_RS14840,MASE_RS00940,MASE_00945,ACZ81_RS01020,ACZ81_01025
MIT1002_00200,TK37_RS14835,MASE_RS00945,MASE_00950,ACZ81_RS01025,ACZ81_01030
MIT1002_00201,TK37_RS14830,MASE_RS00950,MASE_00955,ACZ81_RS01030,ACZ81_01035
MIT1002_00202,TK37_RS14825,MASE_RS00955,MASE_00960,ACZ81_RS01035,ACZ81_01040
MIT1002_00203,TK37_RS14820,MASE_RS00960,MASE_00965,ACZ81_RS01040,ACZ81_01045
MIT1002_00204,TK37_RS14815,MASE_RS00965,MASE_00970,ACZ81_RS01045,ACZ81_01050
MIT1002_00205,TK37_RS14810,MASE_RS00970,MASE_00975,ACZ81_RS01050,ACZ81_01055
MIT1002_00206,TK37_RS14805,MASE_RS00975,MASE_00980,ACZ81_RS01055,ACZ81_01060
MIT1002_00207,TK37_RS14800,MASE_RS00980,MASE_00985,ACZ81_RS01060,ACZ81_01065
MIT1002_00208,TK37_RS14795,MASE_RS00985,MASE_00990,ACZ81_RS01065,ACZ81_01070
MIT1002_00209,TK37_RS14790,MASE_RS00990,MASE_00995,ACZ81_RS01070,ACZ81_01075
MIT1002_00210,TK37_RS14785,MASE_RS00995,MASE_01000,ACZ81_RS01075,ACZ81_01080
MIT1002_00211,TK37_RS14780,MASE_RS01000,MASE_01005,ACZ81_RS01080,ACZ81_01085
MIT1002_00212,TK37_RS14775,MASE_RS01005,MASE_01010,ACZ81_RS01085,ACZ81_01090
MIT1002_00213,TK37_RS14770,MASE_RS01010,MASE_01015,ACZ81_RS01090,ACZ81_01095
MIT1002_00214,TK37_RS14765,MASE_RS01015,MASE_01020,ACZ81_RS01095,ACZ81_01100
MIT1002_00215,TK37_RS14760,MASE_RS01020,MASE_01025,ACZ81_RS01100,ACZ81_01105
MIT1002_00216,TK37_RS14755,MASE_RS01025,MASE_01030,ACZ81_RS01105,ACZ81_01110
MIT1002_00217,TK37_RS14750,MASE_RS01030,MASE_01035,ACZ81_RS01110,ACZ81_01115
MIT1002_00218,TK37_RS14745,MASE_RS01035,MASE_01040,ACZ81_RS01115,ACZ81_01120
MIT1002_00219,TK37_RS14740,MASE_RS01040,MASE_01045,ACZ81_RS01120,ACZ81_01125
MIT1002_00220,TK37_RS14735,MASE_RS01045,MASE_01050,ACZ81_RS01125,ACZ81_01130
MIT1002_00221,TK37_RS14730,MASE_RS01050,MASE_01055,ACZ81_RS01130,ACZ81_01135
MIT1002_00222,TK37_RS14725,MASE_RS01055,MASE_01060,ACZ81_RS01135,ACZ81_01140
MIT1002_00223,TK37_RS14720,MASE_RS01060,MASE_01065,ACZ81_RS01140,ACZ81_01145
MIT1002_00224,TK37_RS14715,MASE_RS01065,MASE_01070,ACZ81_RS01145,ACZ81_01150
MIT1002_00225,TK37_RS14710,MASE_RS01070,MASE_01075,ACZ81_RS01150,ACZ81_01155
MIT1002_00226,TK37_RS14705,MASE_RS01075,MASE_01080,ACZ81_RS01155,ACZ81_01160
MIT1002_00227,TK37_RS14700,MASE_RS01080,MASE_01085,ACZ81_RS01160,ACZ81_01165
MIT1002_00228,TK37_RS14695,MASE_RS01085,MASE_01090,ACZ81_RS01165,ACZ81_01170
MIT1002_00229,TK37_RS14690,MASE_RS01090,MASE_01095,ACZ81_RS01170,ACZ81_01175
MIT1002_00230,TK37_RS14685,MASE_RS01095,MASE_01100,ACZ81_RS01175,ACZ81_01180
MIT1002_00231,TK37_RS14680,MASE_RS01100,MASE_01105,ACZ81_RS01180,ACZ81_01185
MIT1002_00232,TK37_RS14675,MASE_RS01105,MASE_01110,ACZ81_RS01185,ACZ81_01190
MIT1002_00233,TK37_RS14670,MASE_RS01110,MASE_01115,ACZ81_RS01190,ACZ81_01195
MIT1002_00234,TK37_RS14665,MASE_RS01115,MASE_01120,ACZ81_RS01195,ACZ81_01200
MIT1002_00235,TK37_RS14660,MASE_RS01120,MASE_01125,ACZ81_RS01200,ACZ81_01205
MIT1002_00236,TK37_RS14655,MASE_RS01125,MASE_01130,ACZ81_RS01205,ACZ81_01210
MIT1002_00237,TK37_RS14650,MASE_RS01130,MASE_01135,ACZ81_RS01210,ACZ81_01215
MIT1002_00238,TK37_RS14645,MASE_RS01135,MASE_01140,ACZ81_RS01215,ACZ81_01220
MIT1002_00239,TK37_RS14640,MASE_RS01140,MASE_01145,ACZ81_RS01220,ACZ81_01225
MIT1002_00240,TK37_RS14635,MASE_RS01145,MASE_01150,ACZ81_RS01225,ACZ81_01230
MIT1002_00296,TK37_RS10385,MASE_RS18430,MASE_18440,ACZ81_RS20150,ACZ81_20150
MIT1002_00297,TK37_RS10380,MASE_RS18435,MASE_18445,ACZ81_RS21590,ACZ81_20140
MIT1002_00301,TK37_RS10360,MASE_RS03560,MASE_03590,ACZ81_RS03960,ACZ81_03965
MIT1002_00302,TK37_RS10355,MASE_RS03565,MASE_03595,ACZ81_RS03965,ACZ81_03970
MIT1002_00307,TK37_RS10335,MASE_RS03570,MASE_03600,ACZ81_RS03970,ACZ81_03975
MIT1002_00308,TK37_RS10330,MASE_RS03575,MASE_03605,ACZ81_RS03975,ACZ81_03980
MIT1002_00346,TK37_RS19560,MASE_RS01250,MASE_01250,ACZ81_RS01490,ACZ81_01500
MIT1002_00347,TK37_RS19565,MASE_RS01255,MASE_01255,ACZ81_RS01495,ACZ81_01505
MIT1002_00349,TK37_RS18405,MASE_RS01260,MASE_01260,ACZ81_RS01505,ACZ81_01515
MIT1002_00351,TK37_RS18395,MASE_RS01265,MASE_01265,ACZ81_RS01510,ACZ81_01520
MIT1002_00352,TK37_RS18390,MASE_RS01270,MASE_01270,ACZ81_RS01515,ACZ81_01525
MIT1002_00353,TK37_RS18385,MASE_RS01275,MASE_01275,ACZ81_RS01520,ACZ81_01530
MIT1002_00354,TK37_RS18380,MASE_RS01280,MASE_01280,ACZ81_RS01525,ACZ81_01535
MIT1002_00355,TK37_RS18375,MASE_RS01285,MASE_01285,ACZ81_RS01530,ACZ81_01540
MIT1002_00356,TK37_RS18370,MASE_RS01290,MASE_01290,ACZ81_RS01535,ACZ81_01545
MIT1002_00361,TK37_RS18345,MASE_RS01300,MASE_01310,ACZ81_RS01545,ACZ81_01555
MIT1002_00362,TK37_RS18340,MASE_RS01305,MASE_01315,ACZ81_RS01550,ACZ81_01560
MIT1002_00363,TK37_RS18335,MASE_RS01310,MASE_01320,ACZ81_RS01555,ACZ81_01565
MIT1002_00364,TK37_RS18330,MASE_RS01315,MASE_01325,ACZ81_RS01560,ACZ81_01570
MIT1002_00365,TK37_RS18325,MASE_RS01320,MASE_01330,ACZ81_RS01565,ACZ81_01575
MIT1002_00366,TK37_RS18320,MASE_RS01325,MASE_01335,ACZ81_RS01570,ACZ81_01580
MIT1002_00367,TK37_RS18315,MASE_RS01330,MASE_01340,ACZ81_RS01575,ACZ81_01585
MIT1002_00368,TK37_RS18310,MASE_RS01335,MASE_01345,ACZ81_RS01580,ACZ81_01590
MIT1002_00369,TK37_RS18305,MASE_RS01340,MASE_01350,ACZ81_RS01585,ACZ81_01595
MIT1002_00370,TK37_RS18300,MASE_RS01345,MASE_01355,ACZ81_RS01590,ACZ81_01600
MIT1002_00371,TK37_RS18295,MASE_RS01350,MASE_01360,ACZ81_RS01595,ACZ81_01605
MIT1002_00377,TK37_RS15645,MASE_RS01370,MASE_01365,ACZ81_RS01625,ACZ81_01635
MIT1002_00378,TK37_RS15640,MASE_RS01375,MASE_01370,ACZ81_RS01630,ACZ81_01640
MIT1002_00379,TK37_RS15635,MASE_RS01380,MASE_01375,ACZ81_RS01635,ACZ81_01645
MIT1002_00380,TK37_RS15625,MASE_RS01385,MASE_01380,ACZ81_RS01640,ACZ81_01650
MIT1002_00381,TK37_RS15620,MASE_RS01390,MASE_01385,ACZ81_RS01645,ACZ81_01655
MIT1002_00382,TK37_RS15615,MASE_RS01395,MASE_01390,ACZ81_RS01650,ACZ81_01660
MIT1002_00383,TK37_RS15610,MASE_RS01400,MASE_01395,ACZ81_RS01655,ACZ81_01665
MIT1002_00384,TK37_RS15605,MASE_RS01405,MASE_01400,ACZ81_RS01660,ACZ81_01670
MIT1002_00385,TK37_RS15600,MASE_RS01410,MASE_01405,ACZ81_RS01665,ACZ81_01675
MIT1002_00386,TK37_RS15595,MASE_RS01415,MASE_01410,ACZ81_RS01670,ACZ81_01680
MIT1002_00387,TK37_RS15590,MASE_RS01420,MASE_01415,ACZ81_RS01675,ACZ81_01685
MIT1002_00388,TK37_RS15585,MASE_RS01425,MASE_01420,ACZ81_RS01680,ACZ81_01690
MIT1002_00389,TK37_RS15580,MASE_RS01430,MASE_01425,ACZ81_RS01685,ACZ81_01695
MIT1002_00390,TK37_RS15575,MASE_RS01435,MASE_01430,ACZ81_RS01690,ACZ81_01700
MIT1002_00391,TK37_RS15570,MASE_RS01440,MASE_01435,ACZ81_RS01695,ACZ81_01705
