contrast,gene_id,logFC,AveExpr,pvalue,padj,Assay,contrast1,Length,down,up
C2 - C1,TX50_RS02190,-1.00285339355469,6.42555141448975,7.1239025636622e-4,0.0147681787256896,Proteome,C2vsC1_prot,984,TRUE,FALSE
C2 - C1,TX50_RS00710,-0.571120580037431,1.29282894134522,7.12778684844594e-4,0.0147681787256896,Proteome,C2vsC1_prot,1398,TRUE,FALSE
C2 - C1,TX50_RS02150,-1.81123542785644,1.93879095713297,7.23659315909334e-4,0.0147681787256896,Proteome,C2vsC1_prot,582,TRUE,FALSE
C2 - C1,TX50_RS02050,0.601260503133138,0.471220461527506,7.2596384185272e-4,0.0147681787256896,Proteome,C2vsC1_prot,2487,FALSE,TRUE
C2 - C1,TX50_RS01530,-1.21385510762532,-0.298988151550292,7.46819032856682e-4,0.0148555109383376,Proteome,C2vsC1_prot,426,TRUE,FALSE
C2 - C1,TX50_RS04725,0.704416910807293,-0.808393033345541,7.52393658236348e-4,0.0148555109383376,Proteome,C2vsC1_prot,477,FALSE,TRUE
C2 - C1,TX50_RS05765,0.581380208333336,0.949875322977702,7.61553580406351e-4,0.0148555109383376,Proteome,C2vsC1_prot,1521,FALSE,TRUE
C2 - C1,TX50_RS04115,0.907894134521483,2.38592357635498,8.09901861146216e-4,0.0153204054790092,Proteome,C2vsC1_prot,1416,FALSE,TRUE
C2 - C1,TX50_RS01940,1.43038813273112,-0.150425656636557,8.20500882318271e-4,0.0153204054790092,Proteome,C2vsC1_prot,375,FALSE,TRUE
C2 - C1,TX50_RS03595,-0.817661285400394,1.97150643666585,8.2766769459919e-4,0.0153204054790092,Proteome,C2vsC1_prot,1215,TRUE,FALSE
C2 - C1,TX50_RS05965,-0.758598327636721,4.50357265472412,8.28420801884628e-4,0.0153204054790092,Proteome,C2vsC1_prot,735,TRUE,FALSE
C2 - C1,TX50_RS09205,-0.6507682800293,1.04303747812907,9.03798274276389e-4,0.0165001120842254,Proteome,C2vsC1_prot,927,TRUE,FALSE
C2 - C1,TX50_RS05905,-0.657804489135741,1.17851238250732,9.43905802438929e-4,0.0170142007933295,Proteome,C2vsC1_prot,1776,TRUE,FALSE
C2 - C1,TX50_RS09140,0.70303153991699,1.69649766286214,9.74571684058962e-4,0.0172486906312817,Proteome,C2vsC1_prot,2898,FALSE,TRUE
C2 - C1,TX50_RS00965,0.746004740397135,0.20716126759847,9.81298423873525e-4,0.0172486906312817,Proteome,C2vsC1_prot,1107,FALSE,TRUE
C2 - C1,TX50_RS00630,0.850372950236002,-0.194022687276205,9.93253252644028e-4,0.0172486906312817,Proteome,C2vsC1_prot,930,FALSE,TRUE
C2 - C1,TX50_RS00885,0.941242853800453,-0.409018516540527,0.00103174588981401,0.0177012788806644,Proteome,C2vsC1_prot,1143,FALSE,TRUE
C2 - C1,TX50_RS04505,-0.888157526652018,1.28982613881429,0.00108681851257661,0.0184241614512988,Proteome,C2vsC1_prot,1350,TRUE,FALSE
C2 - C1,TX50_RS05160,1.66582997639974,6.39999281565348,0.00112588491003048,0.0188618836692164,Proteome,C2vsC1_prot,1287,FALSE,TRUE
C2 - C1,TX50_RS03370,0.598650614420574,1.98111883799235,0.00114463004116765,0.0189529439374736,Proteome,C2vsC1_prot,1029,FALSE,TRUE
C2 - C1,TX50_RS09045,1.00260543823242,-0.00261300404866538,0.00119860917646814,0.019618614566559,Proteome,C2vsC1_prot,771,FALSE,TRUE
C2 - C1,TX50_RS04945,0.884181976318359,0.194511858622233,0.00121320856036512,0.0196319203404537,Proteome,C2vsC1_prot,1041,FALSE,TRUE
C2 - C1,TX50_RS01560,0.807785034179688,-0.890288225809733,0.00131064408834513,0.0209703054135222,Proteome,C2vsC1_prot,2166,FALSE,TRUE
C2 - C1,TX50_RS03275,-1.02037874857585,-0.604474703470867,0.00132819238624673,0.0210149550890593,Proteome,C2vsC1_prot,1086,TRUE,FALSE
C2 - C1,TX50_RS00030,0.594730377197265,1.3521821975708,0.00135496177653115,0.0212029183492347,Proteome,C2vsC1_prot,2337,FALSE,TRUE
C2 - C1,TX50_RS03760,0.699775060017904,-0.0495739618937174,0.00145041669601701,0.0224499279905242,Proteome,C2vsC1_prot,1053,FALSE,TRUE
C2 - C1,TX50_RS02035,1.50955645243327,-5.12686837514241,0.00154493470722309,0.0235525857611219,Proteome,C2vsC1_prot,504,FALSE,TRUE
C2 - C1,TX50_RS05760,0.684680302937827,1.42601985931397,0.00155473529602911,0.0235525857611219,Proteome,C2vsC1_prot,1299,FALSE,TRUE
C2 - C1,TX50_RS00055,0.571856180826823,2.2774871190389,0.00160175627201424,0.0240094834878767,Proteome,C2vsC1_prot,735,FALSE,TRUE
C2 - C1,TX50_RS08540,0.793156941731771,3.55201841990153,0.00162776336701831,0.0241451566107716,Proteome,C2vsC1_prot,1422,FALSE,TRUE
C2 - C1,TX50_RS08110,0.674486796061194,1.84240258534749,0.00169081049779521,0.0247818742416318,Proteome,C2vsC1_prot,4563,FALSE,TRUE
C2 - C1,TX50_RS00155,0.747434616088863,1.78392937978109,0.00170549415426961,0.0247818742416318,Proteome,C2vsC1_prot,1038,FALSE,TRUE
C2 - C1,TX50_RS02980,0.805700302124023,1.43700567881266,0.00183999972984811,0.0264500986643656,Proteome,C2vsC1_prot,390,FALSE,TRUE
C2 - C1,TX50_RS02465,0.832153956095376,1.55344575246175,0.00185745074890208,0.0264500986643656,Proteome,C2vsC1_prot,489,FALSE,TRUE
C2 - C1,TX50_RS07040,0.741057078043621,2.44656352996826,0.00201414845041997,0.0283974989445351,Proteome,C2vsC1_prot,1107,FALSE,TRUE
C2 - C1,TX50_RS05195,-0.907757441202799,-0.624213600158691,0.00205764362237402,0.0287263188064765,Proteome,C2vsC1_prot,987,TRUE,FALSE
C2 - C1,TX50_RS09110,0.587235768636067,2.87064189910889,0.00211823027660251,0.029285047707592,Proteome,C2vsC1_prot,1212,FALSE,TRUE
C2 - C1,TX50_RS04170,-0.86967658996582,6.52372862497965,0.00225526872079525,0.0308798332539657,Proteome,C2vsC1_prot,1071,TRUE,FALSE
C2 - C1,TX50_RS08310,-0.855462392171217,4.49496402740479,0.00230685886415349,0.0312197379552697,Proteome,C2vsC1_prot,729,TRUE,FALSE
C2 - C1,TX50_RS00780,0.706001281738282,0.0275784174601238,0.00234104738189596,0.0312197379552697,Proteome,C2vsC1_prot,2010,FALSE,TRUE
C2 - C1,TX50_RS06155,-0.851377487182613,0.806766064961751,0.00234586514130186,0.0312197379552697,Proteome,C2vsC1_prot,1227,TRUE,FALSE
C2 - C1,TX50_RS08925,1.02371660868327,-1.07462673187256,0.00240238387634536,0.0316758762955166,Proteome,C2vsC1_prot,705,FALSE,TRUE
C2 - C1,TX50_RS02255,0.715186436971026,-0.737500445048014,0.00246281745845537,0.0321037271217189,Proteome,C2vsC1_prot,1491,FALSE,TRUE
C2 - C1,TX50_RS09705,0.964941660563147,-2.78687496185303,0.00247992274114401,0.0321037271217189,Proteome,C2vsC1_prot,174,FALSE,TRUE
C2 - C1,TX50_RS02260,-0.71113077799479,1.99404646555583,0.00252156775315026,0.0321492762348692,Proteome,C2vsC1_prot,1806,TRUE,FALSE
C2 - C1,TX50_RS00785,1.10579427083333,0.397292264302572,0.00252859476004589,0.0321492762348692,Proteome,C2vsC1_prot,1638,FALSE,TRUE
C2 - C1,TX50_RS00300,-0.78442891438802,0.909532864888509,0.00266757568629213,0.033616175020177,Proteome,C2vsC1_prot,3588,TRUE,FALSE
C2 - C1,TX50_RS08210,-1.11809857686361,2.17770417531331,0.00287482800385373,0.0359101322586641,Proteome,C2vsC1_prot,408,TRUE,FALSE
C2 - C1,TX50_RS00200,0.588439305623372,1.32367496490478,0.0029117378513177,0.0359926210472292,Proteome,C2vsC1_prot,1584,FALSE,TRUE
C2 - C1,TX50_RS08920,0.722447077433269,-0.835637474060059,0.00300688198629747,0.0359926210472292,Proteome,C2vsC1_prot,1287,FALSE,TRUE
C2 - C1,TX50_RS08095,-0.480710983276367,4.54381262461344,0.00301038650904215,0.0359926210472292,Proteome,C2vsC1_prot,2073,TRUE,FALSE
C2 - C1,TX50_RS08940,0.572751998901367,-0.211831092834473,0.00301084354893218,0.0359926210472292,Proteome,C2vsC1_prot,1380,FALSE,TRUE
C2 - C1,TX50_RS02580,-0.742005666097006,1.89687061309815,0.00303934585821236,0.0359926210472292,Proteome,C2vsC1_prot,1107,TRUE,FALSE
C2 - C1,TX50_RS01835,-0.856067021687826,0.132149442036947,0.00306582660821871,0.0359926210472292,Proteome,C2vsC1_prot,270,TRUE,FALSE
C2 - C1,TX50_RS05620,1.00801658630371,-2.50746949513753,0.00310685164018561,0.0359926210472292,Proteome,C2vsC1_prot,366,FALSE,TRUE
C2 - C1,TX50_RS00020,0.713509877522787,3.0058918635050502,0.00311598481588725,0.0359926210472292,Proteome,C2vsC1_prot,1155,FALSE,TRUE
C2 - C1,TX50_RS07480,1.10597928365071,0.585858853658042,0.00312048009834478,0.0359926210472292,Proteome,C2vsC1_prot,222,FALSE,TRUE
C2 - C1,TX50_RS07565,-1.54285113016764,-3.43785762786865,0.00313418891141603,0.0359926210472292,Proteome,C2vsC1_prot,369,TRUE,FALSE
C2 - C1,TX50_RS06450,0.578069051106769,1.05097624460856,0.0031941039596716,0.0363872323085789,Proteome,C2vsC1_prot,1455,FALSE,TRUE
C2 - C1,TX50_RS00220,-0.746630350748698,0.745701154073079,0.00328132778536879,0.0369172393308546,Proteome,C2vsC1_prot,522,TRUE,FALSE
C2 - C1,TX50_RS07610,0.610559463500977,2.91997890472412,0.00329838007764318,0.0369172393308546,Proteome,C2vsC1_prot,426,FALSE,TRUE
C2 - C1,TX50_RS08255,-1.25483067830403,3.08547649383545,0.00331840353535771,0.0369172393308546,Proteome,C2vsC1_prot,456,TRUE,FALSE
C2 - C1,TX50_RS07255,0.915475209554036,-2.68232860565186,0.00347284830985264,0.0383359379320167,Proteome,C2vsC1_prot,900,FALSE,TRUE
C2 - C1,TX50_RS05425,0.86455790201823,-2.33786907196045,0.0036291294169324,0.0397529253054749,Proteome,C2vsC1_prot,249,FALSE,TRUE
C2 - C1,TX50_RS03240,-0.691930770874025,3.34119027455648,0.00370465346021635,0.0402704315064739,Proteome,C2vsC1_prot,1449,TRUE,FALSE
C2 - C1,TX50_RS04640,0.455979029337563,2.2122173945109,0.00374448723914506,0.0403950744586558,Proteome,C2vsC1_prot,1533,FALSE,TRUE
C2 - C1,TX50_RS07725,0.445380528767901,1.00397332509359,0.00379614897635443,0.0405800210838984,Proteome,C2vsC1_prot,1620,FALSE,TRUE
C2 - C1,TX50_RS03720,-0.87054443359375,0.404238446553549,0.00381862557952415,0.0405800210838984,Proteome,C2vsC1_prot,225,TRUE,FALSE
C2 - C1,TX50_RS03935,-1.50011761983236,-2.98374188741048,0.00396790710747007,0.0418540720076843,Proteome,C2vsC1_prot,204,TRUE,FALSE
C2 - C1,TX50_RS05640,0.645872751871744,4.71931934356689,0.00401782612506254,0.0420690029565371,Proteome,C2vsC1_prot,1569,FALSE,TRUE
C2 - C1,TX50_RS05270,0.65934944152832,3.10894578297933,0.00406912399771183,0.0422102704432358,Proteome,C2vsC1_prot,330,FALSE,TRUE
C2 - C1,TX50_RS03090,0.997063954671223,-3.03350391387939,0.004090602051381,0.0422102704432358,Proteome,C2vsC1_prot,462,FALSE,TRUE
C2 - C1,TX50_RS00795,-0.667418162027997,1.46346391042074,0.00413588252137303,0.0423704799311885,Proteome,C2vsC1_prot,1176,TRUE,FALSE
C2 - C1,TX50_RS02485,-1.01789792378743,3.42527955373128,0.0041911830120057,0.0424220614771915,Proteome,C2vsC1_prot,534,TRUE,FALSE
C2 - C1,TX50_RS08100,-0.849290847778319,3.56544806162516,0.004225281384904,0.0424220614771915,Proteome,C2vsC1_prot,468,TRUE,FALSE
C2 - C1,TX50_RS03545,0.586330413818359,-0.15265572865804,0.00423028983831545,0.0424220614771915,Proteome,C2vsC1_prot,645,FALSE,TRUE
C2 - C1,TX50_RS05110,0.492019017537433,1.61533756256104,0.00431197254083517,0.0429388034835614,Proteome,C2vsC1_prot,801,FALSE,TRUE
C2 - C1,TX50_RS02805,0.84891128540039,-1.52293071746826,0.00438229591140463,0.0433360373461124,Proteome,C2vsC1_prot,693,FALSE,TRUE
C2 - C1,TX50_RS08505,0.596450805664066,1.7596347173055,0.00447911340688154,0.0439879826993056,Proteome,C2vsC1_prot,1041,FALSE,TRUE
C2 - C1,TX50_RS00645,0.677471160888673,0.799499320983886,0.00464610704671825,0.045075909807696,Proteome,C2vsC1_prot,966,FALSE,TRUE
C2 - C1,TX50_RS08290,-0.824936548868813,2.21894105275472,0.00465320136357536,0.045075909807696,Proteome,C2vsC1_prot,363,TRUE,FALSE
C2 - C1,TX50_RS08660,-0.638331095377606,2.94676825205485,0.00473091552730319,0.0455190791275658,Proteome,C2vsC1_prot,744,TRUE,FALSE
C2 - C1,TX50_RS03250,0.475436528523762,1.49720668792725,0.00477301941497924,0.0456159707847681,Proteome,C2vsC1_prot,1347,FALSE,TRUE
C2 - C1,TX50_RS08085,-0.681945164998373,2.95740400950114,0.00486266806533385,0.0461629288335693,Proteome,C2vsC1_prot,318,TRUE,FALSE
C2 - C1,TX50_RS04790,0.593662261962889,0.761344718933105,0.0051301789999091,0.0478848835434128,Proteome,C2vsC1_prot,1995,FALSE,TRUE
C2 - C1,TX50_RS04105,-0.539605458577474,1.5891211827596,0.00513496614804487,0.0478848835434128,Proteome,C2vsC1_prot,1299,TRUE,FALSE
C2 - C1,TX50_RS00285,0.891448974609375,0.122896512349447,0.00514493481892006,0.0478848835434128,Proteome,C2vsC1_prot,384,FALSE,TRUE
C2 - C1,TX50_RS01950,0.64343516031901,0.162848854064941,0.00527554661338814,0.0485472896083733,Proteome,C2vsC1_prot,387,FALSE,TRUE
C2 - C1,TX50_RS02570,-0.8199036916097,3.54876384735107,0.00529520491141702,0.0485472896083733,Proteome,C2vsC1_prot,837,TRUE,FALSE
C2 - C1,TX50_RS06435,0.527558008829754,-0.80643367767334,0.0053183828503555,0.0485472896083733,Proteome,C2vsC1_prot,861,FALSE,TRUE
C2 - C1,TX50_RS04420,0.52688280741374,1.58216673533122,0.00559585752143605,0.0505343161460685,Proteome,C2vsC1_prot,3297,FALSE,TRUE
C2 - C1,TX50_RS09020,0.576145807902017,1.79221363067627,0.00560703788699356,0.0505343161460685,Proteome,C2vsC1_prot,1608,FALSE,TRUE
C2 - C1,TX50_RS07215,-0.95627784729004,2.24305489857992,0.00564612486347695,0.0505362379559968,Proteome,C2vsC1_prot,258,TRUE,FALSE
C2 - C1,TX50_RS07720,0.48948605855306,-0.153112983703613,0.00567822898381987,0.0505362379559968,Proteome,C2vsC1_prot,540,FALSE,TRUE
C2 - C1,TX50_RS04775,0.652828852335615,3.65094432830811,0.00574239123410042,0.0506045892999231,Proteome,C2vsC1_prot,435,FALSE,TRUE
C2 - C1,TX50_RS00035,0.524305979410807,0.691179211934408,0.00575951497023991,0.0506045892999231,Proteome,C2vsC1_prot,1458,FALSE,TRUE
C2 - C1,TX50_RS08690,-0.62298901875814,4.18754393259684,0.00580826300905195,0.0506045892999231,Proteome,C2vsC1_prot,1416,TRUE,FALSE
C2 - C1,TX50_RS08615,-0.55055872599284,6.11639474232991,0.00582805663285631,0.0506045892999231,Proteome,C2vsC1_prot,2004,TRUE,FALSE
C2 - C1,TX50_RS00430,-0.961446762084961,0.912826093037923,0.00597150106446922,0.051417996917014,Proteome,C2vsC1_prot,720,TRUE,FALSE
C2 - C1,TX50_RS02010,1.02520624796549,0.298176383972168,0.00599395188779798,0.051417996917014,Proteome,C2vsC1_prot,270,FALSE,TRUE
C2 - C1,TX50_RS08410,-0.81464449564616,-0.165485191345215,0.00610256973598647,0.0520362832577529,Proteome,C2vsC1_prot,822,TRUE,FALSE
C2 - C1,TX50_RS00230,-0.541004816691081,0.428706041971842,0.00614915821648274,0.0521214363111394,Proteome,C2vsC1_prot,1773,TRUE,FALSE
C2 - C1,TX50_RS06615,-0.71211306254069,2.22413679758708,0.00627070076579899,0.0528371472810518,Proteome,C2vsC1_prot,1164,TRUE,FALSE
C2 - C1,TX50_RS06315,-1.01675542195638,-0.0850417455037436,0.00631963632667472,0.0529362478187341,Proteome,C2vsC1_prot,243,TRUE,FALSE
C2 - C1,TX50_RS08650,-1.03822453816732,0.377784156799317,0.00654841530178701,0.0544090219333204,Proteome,C2vsC1_prot,249,TRUE,FALSE
C2 - C1,TX50_RS08810,0.517885843912758,1.26875972747803,0.00657187624475499,0.0544090219333204,Proteome,C2vsC1_prot,1758,FALSE,TRUE
C2 - C1,TX50_RS08445,0.487815856933595,0.921118227640788,0.00665556113209115,0.0547393028960857,Proteome,C2vsC1_prot,1518,FALSE,TRUE
C2 - C1,TX50_RS02560,-1.22066942850748,2.76165879567464,0.00668865077522396,0.0547393028960857,Proteome,C2vsC1_prot,462,TRUE,FALSE
C2 - C1,TX50_RS03875,0.640718460083006,0.259341875712077,0.00691190716565485,0.0562431760222429,Proteome,C2vsC1_prot,807,FALSE,TRUE
